node_number,X,Y,Z,amplitude,mean,gas_load,inertia_load
157,-108.0,-22.9015139,-39.6,11.52536473,-8.22764251,15400000,1000
158,-99.06999978,50.2717478,-39.6,26.5914216,-18.98288826,15400000,1000
159,-103.9395642,42.8897053,-39.6,17.0062715,-12.14031184,15400000,1000
160,-106.9709578,34.58200636,-39.6,10.81957357,-7.723797459,15400000,1000
161,-58.43622049,98.53786451,-39.6,29.3096367,20.92334757,15400000,1000
162,-64.2410461,91.64270498,-39.6,35.10743597,25.06223781,15400000,1000
163,-70.04587172,84.74754545,-39.6,44.94595023,32.085684,15400000,1000
164,-75.85069733,77.85238592,-39.6,51.77387213,-36.95995054,15400000,1000
165,-81.65552294,70.95722639,-39.6,46.83211517,-33.43216545,15400000,1000
166,-87.46034856,64.06206686,-39.6,40.47048532,-28.89077219,15400000,1000
167,-93.26517417,57.16690733,-39.6,34.30793294,-24.49149434,15400000,1000
168,-29.36622071,112.0647137,-39.6,23.94752252,17.09548093,15400000,1000
169,-37.57586952,111.1672967,-39.6,23.65652211,16.88774382,15400000,1000
170,-45.39775631,108.5174329,-39.6,23.42366938,16.72151659,15400000,1000
171,-52.46243403,104.2402821,-39.6,26.55739825,18.95859985,15400000,1000
172,20.63377929,112.0647137,-39.6,21.51305778,15.35758319,15400000,1000
173,10.63377929,112.0647137,-39.6,21.30276285,15.20745944,15400000,1000
174,0.633779293,112.0647137,-39.6,19.86243685,14.17925017,15400000,1000
175,-9.366220707,112.0647137,-39.6,19.56806954,13.96910943,15400000,1000
176,-19.36622071,112.0647137,-39.6,21.4116665,15.2852028,15400000,1000
177,45.05970846,103.1744025,-39.6,29.41200281,20.99642401,15400000,1000
178,37.68814814,108.022754,-39.6,22.44379639,16.02201213,15400000,1000
179,29.39718238,111.0404187,-39.6,21.35194993,15.24257287,15400000,1000
180,191.9881727,-20.11321769,-39.6,0.933957052,0.666726386,15400000,1000
181,52.40613168,97.01002149,-39.6,38.62698496,27.57474752,15400000,1000
182,59.75255489,90.84564048,-39.6,48.47618181,-34.60581955,15400000,1000
183,67.0989781,84.68125947,-39.6,53.55205969,-38.22935009,15400000,1000
184,74.44540132,78.51687846,-39.6,54.92140375,-39.20688706,15400000,1000
185,81.79182453,72.35249745,-39.6,54.5445429,-38.93785656,15400000,1000
186,89.13824775,66.18811644,-39.6,51.88866167,-37.04189566,15400000,1000
187,96.48467096,60.02373543,-39.6,49.3194626,-35.20781478,15400000,1000
188,103.8310942,53.85935442,-39.6,46.12869256,-32.93001134,15400000,1000
189,111.1775174,47.69497341,-39.6,42.8768446,-30.60860608,15400000,1000
190,118.5239406,41.5305924,-39.6,39.20654768,-27.98848167,15400000,1000
191,125.8703638,35.36621139,-39.6,35.73990173,-25.51373771,15400000,1000
192,133.216787,29.20183038,-39.6,30.82572238,-22.00563968,15400000,1000
193,140.5632102,23.03744937,-39.6,25.27026697,-18.03975204,15400000,1000
194,147.9096335,16.87306836,-39.6,20.54954462,-14.66975758,15400000,1000
195,155.2560567,10.70868735,-39.6,15.360585,-10.96550136,15400000,1000
196,162.6024799,4.544306345,-39.6,10.6006523,-7.5675156,15400000,1000
197,169.9489031,-1.620074664,-39.6,7.589477147,5.41792006,15400000,1000
198,177.2953263,-7.784455674,-39.6,4.172461054,2.978605775,15400000,1000
199,184.6417495,-13.94883668,-39.6,1.508052304,1.076557272,15400000,1000
200,178.1682391,-36.58317322,-39.6,1.07541454,-0.767709013,15400000,1000
201,182.7748837,-31.09318804,-39.6,1.294846301,-0.924355343,15400000,1000
202,187.3815282,-25.60320287,-39.6,0.810406922,0.578527327,15400000,1000
203,66.96598266,-169.1088619,-39.6,1.460084541,1.042314394,15400000,1000
204,66.32306077,-159.4728477,-39.6,4.280707965,3.055880291,15400000,1000
205,66.45708628,-149.8163393,-39.6,7.803160826,5.570462996,15400000,1000
206,67.36719112,-140.2018801,-39.6,13.26147072,9.46700101,15400000,1000
207,69.04748072,-130.691741,-39.6,20.1000724,14.34889157,15400000,1000
208,71.48707215,-121.3475176,-39.6,26.00041065,18.56098163,15400000,1000
209,74.67016464,-112.2297306,-39.6,27.56664229,19.67907158,15400000,1000
210,78.57614189,-103.3974343,-39.6,21.49025663,15.34130614,15400000,1000
211,83.1797056,-94.90783366,-39.6,9.191480714,6.561546598,15400000,1000
212,88.45103937,-86.81591437,-39.6,15.33320251,-10.94595368,15400000,1000
213,94.35600173,-79.17408625,-39.6,34.15422737,-24.38176818,15400000,1000
214,100.8563474,-72.03184401,-39.6,48.44457321,-34.5832554,15400000,1000
215,107.9099747,-65.43544661,-39.6,54.70262442,-39.05070663,15400000,1000
216,115.4711988,-59.4276177,-39.6,52.5105137,-37.48581892,15400000,1000
217,123.4910469,-54.04726885,-39.6,43.41506453,-30.99282653,15400000,1000
218,131.917576,-49.32924759,-39.6,32.31925804,-23.07183392,15400000,1000
219,140.696209,-45.30411167,-39.6,21.01812187,-15.00426201,15400000,1000
220,149.7700884,-41.99793113,-39.6,12.31228035,-8.789400026,15400000,1000
221,159.0804444,-39.4321195,-39.6,6.630027415,-4.732995131,15400000,1000
222,168.5669755,-37.62329506,-39.6,3.266146245,-2.331612419,15400000,1000
223,57.75269359,-180.0888322,-39.6,1.039585098,-0.742131358,15400000,1000
224,62.35933813,-174.5988471,-39.6,2.006799274,1.432599083,15400000,1000
225,-98.5,0.0,51.6,15.32907775,10.94300915,15400000,1000
226,-97.99462835,9.965079716,51.6,15.50197016,11.06643228,15400000,1000
227,-96.48369921,19.82790423,51.6,14.36301523,10.25336355,15400000,1000
228,-93.98271676,29.48726761,51.6,12.77058155,9.116568691,15400000,1000
229,-90.51734444,38.84405173,51.6,12.7283582,9.08642665,15400000,1000
230,-86.12314169,47.80224331,51.6,14.55176369,10.38810584,15400000,1000
231,-80.84519896,56.26991919,51.6,18.30656321,13.06855453,15400000,1000
232,-74.73767509,64.16018955,51.6,23.23831575,16.58919777,15400000,1000
233,-67.86324153,71.39208954,51.6,26.23633877,-18.72940435,15400000,1000
234,-60.29243928,77.89141009,51.6,24.60702869,-17.56628444,15400000,1000
235,-52.10295502,83.59145936,51.6,22.0011501,-15.70601899,15400000,1000
236,-43.37882393,88.43374715,51.6,22.0120378,-15.71379145,15400000,1000
237,-34.20956741,92.36858502,51.6,24.6796449,-17.61812329,15400000,1000
238,-24.68927443,95.35559621,51.6,27.94086364,-19.94621808,15400000,1000
239,-14.91563608,97.36412995,51.6,30.34394041,-21.66170868,15400000,1000
240,-4.988943131,98.37357596,51.6,31.27830574,-22.32872656,15400000,1000
241,4.988943131,98.37357596,51.6,30.14760913,-21.52155337,15400000,1000
242,14.91563608,97.36412995,51.6,27.9773229,-19.97224527,15400000,1000
243,24.68927443,95.35559621,51.6,24.27196792,-17.32709368,15400000,1000
244,34.20956741,92.36858502,51.6,21.77103942,-15.54174923,15400000,1000
245,43.37882393,88.43374715,51.6,23.05032337,-16.45499511,15400000,1000
246,52.10295502,83.59145936,51.6,24.81144572,-17.71221226,15400000,1000
247,60.29243928,77.89141009,51.6,24.31443547,-17.35741013,15400000,1000
248,67.86324153,71.39208954,51.6,20.90103107,-14.9206741,15400000,1000
249,74.73767509,64.16018955,51.6,13.13017035,9.373269317,15400000,1000
250,80.84519896,56.26991919,51.6,9.608881433,6.859517534,15400000,1000
251,86.12314169,47.80224331,51.6,12.23636955,8.735209446,15400000,1000
252,90.51734444,38.84405173,51.6,15.3243991,10.93966919,15400000,1000
253,93.98271676,29.48726761,51.6,15.83787682,11.30622684,15400000,1000
254,96.48369921,19.82790423,51.6,14.73898961,10.5217614,15400000,1000
255,97.99462835,9.965079716,51.6,12.47169427,8.903201301,15400000,1000
256,98.5,-4.62e-14,51.6,9.795390796,6.992661488,15400000,1000
257,97.99462835,-9.965079716,51.6,9.061912997,6.4690518,15400000,1000
