node_number,X,Y,Z
197,169.9489031,-1.620074664,-39.6
198,177.2953263,-7.784455674,-39.6
199,184.6417495,-13.94883668,-39.6
200,178.1682391,-36.58317322,-39.6
201,182.7748837,-31.09318804,-39.6
202,187.3815282,-25.60320287,-39.6
203,66.96598266,-169.1088619,-39.6
204,66.32306077,-159.4728477,-39.6
205,66.45708628,-149.8163393,-39.6
206,67.36719112,-140.2018801,-39.6
207,69.04748072,-130.691741,-39.6
208,71.48707215,-121.3475176,-39.6
209,74.67016464,-112.2297306,-39.6
210,78.57614189,-103.3974343,-39.6
211,83.1797056,-94.90783366,-39.6
212,88.45103937,-86.81591437,-39.6
213,94.35600173,-79.17408625,-39.6
214,100.8563474,-72.03184401,-39.6
215,107.9099747,-65.43544661,-39.6
216,115.4711988,-59.4276177,-39.6
217,123.4910469,-54.04726885,-39.6
218,131.917576,-49.32924759,-39.6
219,140.696209,-45.30411167,-39.6
220,149.7700884,-41.99793113,-39.6
221,159.0804444,-39.4321195,-39.6
222,168.5669755,-37.62329506,-39.6
223,57.75269359,-180.0888322,-39.6
224,62.35933813,-174.5988471,-39.6
225,-98.5,0,51.6
226,-97.99462835,9.965079716,51.6
227,-96.48369921,19.82790423,51.6
228,-93.98271676,29.48726761,51.6
229,-90.51734444,38.84405173,51.6
230,-86.12314169,47.80224331,51.6
231,-80.84519896,56.26991919,51.6
232,-74.73767509,64.16018955,51.6
233,-67.86324153,71.39208954,51.6
234,-60.29243928,77.89141009,51.6
235,-52.10295502,83.59145936,51.6
236,-43.37882393,88.43374715,51.6
237,-34.20956741,92.36858502,51.6
238,-24.68927443,95.35559621,51.6
239,-14.91563608,97.36412995,51.6
240,-4.988943131,98.37357596,51.6
241,4.988943131,98.37357596,51.6
242,14.91563608,97.36412995,51.6
243,24.68927443,95.35559621,51.6
244,34.20956741,92.36858502,51.6
245,43.37882393,88.43374715,51.6
246,52.10295502,83.59145936,51.6
247,60.29243928,77.89141009,51.6
248,67.86324153,71.39208954,51.6
249,74.73767509,64.16018955,51.6
250,80.84519896,56.26991919,51.6
251,86.12314169,47.80224331,51.6
252,90.51734444,38.84405173,51.6
253,93.98271676,29.48726761,51.6
254,96.48369921,19.82790423,51.6
255,97.99462835,9.965079716,51.6
256,98.5,-4.62E-14,51.6
257,97.99462835,-9.965079716,51.6
258,96.48369921,-19.82790423,51.6
259,93.98271676,-29.48726761,51.6
260,90.51734444,-38.84405173,51.6
261,86.12314169,-47.80224331,51.6
262,80.84519896,-56.26991919,51.6
263,74.73767509,-64.16018955,51.6
264,67.86324153,-71.39208954,51.6
265,60.29243928,-77.89141009,51.6
266,52.10295502,-83.59145936,51.6
267,43.37882393,-88.43374715,51.6
268,34.20956741,-92.36858502,51.6
269,24.68927443,-95.35559621,51.6
270,14.91563608,-97.36412995,51.6
271,4.988943131,-98.37357596,51.6
272,-4.988943131,-98.37357596,51.6
273,-14.91563608,-97.36412995,51.6
274,-24.68927443,-95.35559621,51.6
275,-34.20956741,-92.36858502,51.6
276,-43.37882393,-88.43374715,51.6
277,-52.10295502,-83.59145936,51.6
278,-60.29243928,-77.89141009,51.6
279,-67.86324153,-71.39208954,51.6
280,-74.73767509,-64.16018955,51.6
281,-80.84519896,-56.26991919,51.6
282,-86.12314169,-47.80224331,51.6
283,-90.51734444,-38.84405173,51.6
284,-93.98271676,-29.48726761,51.6
285,-96.48369921,-19.82790423,51.6
286,-97.99462835,-9.965079716,51.6
287,-84.37080935,-85.85335971,8.67E-16
288,45.43259774,-194.7713507,-1.18E-29
289,-76.73531482,-92.26030036,8.16E-16
290,-69.09982028,-98.66724101,7.65E-16
291,-61.46432575,-105.0741817,7.14E-16
292,-53.82883121,-111.4811223,6.63E-16
293,-46.19333668,-117.888063,6.12E-16
294,-38.55784214,-124.2950036,5.61E-16
295,-30.92234761,-130.7019442,5.10E-16
296,-23.28685307,-137.1088849,4.59E-16
297,-15.65135854,-143.5158255,4.08E-16
298,-8.015864005,-149.9227662,3.57E-16
299,-0.380369471,-156.3297068,3.06E-16
300,7.255125064,-162.7366475,2.55E-16
301,14.8906196,-169.1435881,2.04E-16
302,22.52611413,-175.5505288,1.53E-16
303,30.16160867,-181.9574694,1.02E-16
304,37.7971032,-188.3644101,5.10E-17
305,-77.61491813,-88.78972316,-23.92559428
306,-79.86688187,-87.81093535,-15.95039618
307,-82.11884561,-86.83214753,-7.975198092
308,47.22659076,-192.6333531,-31.90079237
309,39.56614633,-186.205477,-31.90079237
310,31.9057019,-179.7776009,-31.90079237
311,24.24525747,-173.3497248,-31.90079237
312,16.58481303,-166.9218487,-31.90079237
313,8.924368603,-160.4939726,-31.90079237
314,1.263924172,-154.0660965,-31.90079237
315,-6.39652026,-147.6382204,-31.90079237
316,-14.05696469,-141.2103443,-31.90079237
317,-21.71740912,-134.7824682,-31.90079237
318,-29.37785355,-128.3545921,-31.90079237
319,-37.03829798,-121.926716,-31.90079237
320,-44.69874242,-115.4988399,-31.90079237
321,-52.35918685,-109.0709638,-31.90079237
322,-60.01963128,-102.6430877,-31.90079237
323,-67.68007571,-96.21521164,-31.90079237
324,45.88109599,-194.2368513,-7.975198092
325,46.32959425,-193.7023519,-15.95039618
326,46.7780925,-193.1678525,-23.92559428
327,-73.16912297,-87.19956516,-35.60375949
328,49.39798793,-190.0455827,-35.60375949
329,41.7375435,-183.6177066,-35.60375949
330,34.07709907,-177.1898305,-35.60375949
331,26.41665464,-170.7619544,-35.60375949
332,18.75621021,-164.3340783,-35.60375949
333,11.09576578,-157.9062022,-35.60375949
334,3.435321345,-151.4783261,-35.60375949
335,-4.225123086,-145.05045,-35.60375949
336,-11.88556752,-138.6225739,-35.60375949
337,-19.54601195,-132.1946978,-35.60375949
338,-27.20645638,-125.7668217,-35.60375949
339,-34.86690081,-119.3389456,-35.60375949
340,-42.52734524,-112.9110696,-35.60375949
341,-50.18778967,-106.4831935,-35.60375949
